Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,Ryzen 7 7735HS,287,79,1204,https://cpu.userbenchmark.com/SpeedTest/2011483/AMD-Ryzen-7-7735HS-with-Radeon-Graphics
CPU,BX80646I74790K,Intel,Core i7-4790K,288,78.9,455746,https://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384
CPU,CL8068404069006,Intel,Core i9-9880H,289,78.9,11095,https://cpu.userbenchmark.com/SpeedTest/750169/IntelR-CoreTM-i9-9880H-CPU---230GHz
CPU,YD299XAZAFWOF,AMD,Ryzen TR 2990WX,290,78.9,3658,https://cpu.userbenchmark.com/SpeedTest/560423/AMD-Ryzen-Threadripper-2990WX-32-Core-Processor
CPU,,Intel,Core i5-9400H,291,78.9,773,https://cpu.userbenchmark.com/SpeedTest/843530/IntelR-CoreTM-i5-9400H-CPU---250GHz
CPU,,Intel,Core i7-10875H,292,78.8,35361,https://cpu.userbenchmark.com/SpeedTest/1111393/IntelR-CoreTM-i7-10875H-CPU---230GHz
CPU,,Intel,Core i3-10300T,293,78.6,25,https://cpu.userbenchmark.com/SpeedTest/1290166/IntelR-CoreTM-i3-10300T-CPU---300GHz
CPU,BX80633I74960X,Intel,Core i7-4960X,294,78.4,5121,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977
CPU,,Intel,Core i7-11375H,295,78.2,706,https://cpu.userbenchmark.com/SpeedTest/1462657/11th-Gen-IntelR-CoreTM-i7-11375H---330GHz
CPU,,AMD,Ryzen 9 5900HX,296,78.2,12809,https://cpu.userbenchmark.com/SpeedTest/1449683/AMD-Ryzen-9-5900HX-with-Radeon-Graphics
CPU,,Intel,Core i5-10500T,297,78.2,1923,https://cpu.userbenchmark.com/SpeedTest/1204939/IntelR-CoreTM-i5-10500T-CPU---230GHz
CPU,,Intel,Core i5-10400T,298,78.1,1246,https://cpu.userbenchmark.com/SpeedTest/1189479/IntelR-CoreTM-i5-10400T-CPU---200GHz
CPU,,Intel,Xeon E3-1286 v3,299,78.1,33,https://cpu.userbenchmark.com/SpeedTest/33047/IntelR-XeonR-CPU-E3-1286-v3---370GHz
CPU,,AMD,Ryzen 7 6800H,300,78,7204,https://cpu.userbenchmark.com/SpeedTest/1786492/AMD-Ryzen-7-6800H-with-Radeon-Graphics
CPU,,AMD,Ryzen 5 4600G,301,78,3346,https://cpu.userbenchmark.com/SpeedTest/1344633/AMD-Ryzen-5-4600G-with-Radeon-Graphics
CPU,,AMD,Ryzen 9 5980HS,302,78,147,https://cpu.userbenchmark.com/SpeedTest/1493102/AMD-Ryzen-9-5980HS-with-Radeon-Graphics
CPU,,Intel,Core i7-3970X,303,77.9,2677,https://cpu.userbenchmark.com/SpeedTest/6794/IntelR-CoreTM-i7-3970X-CPU---350GHz
CPU,BX80673I77800X,Intel,Core i7-7800X,304,77.9,22334,https://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz
CPU,,Intel,Core i7-5850HQ,305,77.8,55,https://cpu.userbenchmark.com/SpeedTest/35099/IntelR-CoreTM-i7-5850HQ-CPU---270GHz
CPU,FH8067703417418,Intel,Core i7-8706G,306,77.7,211,https://cpu.userbenchmark.com/SpeedTest/518066/IntelR-CoreTM-i7-8706G-CPU---310GHz
CPU,BX80619I73960X,Intel,Core i7-3960X,307,77.7,2165,https://cpu.userbenchmark.com/Intel-Core-i7-3960X/Rating/1973
CPU,,Intel,Core i7 X 990,308,77.7,4994,https://cpu.userbenchmark.com/SpeedTest/2590/IntelR-CoreTM-i7-CPU-------X-990----347GHz
CPU,YD192XA8AEWOF,AMD,Ryzen TR 1920X,309,77.6,10440,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1920X/Rating/3934
CPU,FH8068403419332,Intel,Core i7-8559U,310,77.5,2379,https://cpu.userbenchmark.com/SpeedTest/543591/IntelR-CoreTM-i7-8559U-CPU---270GHz
CPU,,Intel,Core i3-10100T,311,77.2,423,https://cpu.userbenchmark.com/SpeedTest/1260090/IntelR-CoreTM-i3-10100T-CPU---300GHz
CPU,,Intel,Xeon E3-1275 v3,312,77.2,384,https://cpu.userbenchmark.com/SpeedTest/5652/IntelR-XeonR-CPU-E3-1275-v3---350GHz
CPU,BX80646E31276V3,Intel,Xeon E3-1276 v3,313,77.1,297,https://cpu.userbenchmark.com/SpeedTest/25180/IntelR-XeonR-CPU-E3-1276-v3---360GHz
CPU,,Intel,Core i7-9850H,314,77.1,9974,https://cpu.userbenchmark.com/SpeedTest/826055/IntelR-CoreTM-i7-9850H-CPU---260GHz
CPU,100-000000253,AMD,Ryzen 3 5300G,315,77,1608,https://cpu.userbenchmark.com/SpeedTest/1542116/AMD-Ryzen-3-5300G-with-Radeon-Graphics
CPU,,AMD,Ryzen 5 6600H,316,77,1412,https://cpu.userbenchmark.com/SpeedTest/1815652/AMD-Ryzen-5-6600H-with-Radeon-Graphics
CPU,BX80633I74930K,Intel,Core i7-4930K,317,76.9,22204,https://cpu.userbenchmark.com/Intel-Core-i7-4930K/Rating/1976
CPU,,Intel,Xeon W3690,318,76.9,4808,https://cpu.userbenchmark.com/SpeedTest/9677/IntelR-XeonR-CPU-----------W3690----347GHz
CPU,BX80648I75820K,Intel,Core i7-5820K,319,76.8,101694,https://cpu.userbenchmark.com/Intel-Core-i7-5820K/Rating/2579
CPU,,Intel,Xeon E5-1650 v3,320,76.8,7962,https://cpu.userbenchmark.com/SpeedTest/16320/IntelR-XeonR-CPU-E5-1650-v3---350GHz
CPU,,Intel,Core i7-10750H,321,76.8,206796,https://cpu.userbenchmark.com/SpeedTest/1053158/IntelR-CoreTM-i7-10750H-CPU---260GHz
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,322,76.7,23641,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932
CPU,,Intel,Xeon E3-1230 v5,323,76.6,2254,https://cpu.userbenchmark.com/SpeedTest/72554/IntelR-XeonR-CPU-E3-1230-v5---340GHz
CPU,CL8068403373614,Intel,Core i5-8400H,324,76.6,1303,https://cpu.userbenchmark.com/SpeedTest/524256/IntelR-CoreTM-i5-8400H-CPU---250GHz
CPU,YD190XA8AEWOF,AMD,Ryzen TR 1900X,325,76.3,7071,https://cpu.userbenchmark.com/SpeedTest/340638/AMD-Ryzen-Threadripper-1900X-8-Core-Processor
CPU,BX80677I77700,Intel,Core i7-7700,326,76.2,256717,https://cpu.userbenchmark.com/Intel-Core-i7-7700/Rating/3887
